id_tx,id_cliente,fecha,ciudad,categoria,monto
1,341,2025-03-01,Bogota,ropa,83.22
2,256,2025-10-23,Bucaramanga,electronica,278.51
3,40,2025-04-05,Bucaramanga,mercado,31.89
4,387,2025-02-15,Barranquilla,ropa,79.67
5,63,2025-04-05,Bogota,ropa,75.51
6,91,2025-10-01,Bogota,ropa,69.75
7,192,2025-08-10,Medellin,electronica,285.09
8,175,2025-12-23,Bogota,ropa,154.82
9,318,2025-07-17,Bucaramanga,ropa,14.19
10,174,2025-05-09,Medellin,mercado,57.96
11,217,2025-06-14,Medellin,mercado,88.75
12,233,2025-06-18,Bogota,ropa,129.1
13,343,2025-06-01,Bogota,ropa,5.34
14,271,2025-01-23,Bogota,ropa,50.7
15,122,2025-02-05,Pereira,electronica,153.87
16,362,2025-09-21,Bogota,hogar,246.59
17,77,2025-10-15,Bucaramanga,mercado,13.72
18,384,2025-02-27,Medellin,ropa,48.6
19,41,2025-09-02,Medellin,electronica,218.04
20,195,2025-12-14,Bogota,hogar,1229.36
21,69,2025-03-08,Cali,mercado,42.17
22,377,2025-01-16,Bucaramanga,electronica,292.01
23,294,2025-10-14,Bogota,ropa,78.34
24,54,2025-05-02,Bogota,deportes,251.5
25,378,2025-04-01,Bogota,mercado,16.02
26,263,2025-06-08,Medellin,electronica,143.42
27,169,2025-03-27,Cali,libros,11.87
28,207,2025-10-09,Bogota,electronica,376.25
29,116,2025-10-08,Bogota,juguetes,67.86
30,190,2025-07-21,Bucaramanga,electronica,458.24
31,283,2025-09-27,Bogota,mercado,93.15
32,337,2025-07-12,Medellin,ropa,48.09
33,97,2025-03-02,Bogota,electronica,140.91
34,46,2025-01-26,Bogota,hogar,17.31
35,271,2025-09-05,Cali,ropa,13.92
36,52,2025-08-22,Bogota,ropa,91.24
37,193,2025-10-08,Medellin,juguetes,8.15
38,147,2025-07-04,Bogota,electronica,879.41
39,181,2025-07-20,Cartagena,electronica,807.53
40,384,2025-04-05,Barranquilla,ropa,115.33
41,73,2025-09-07,Pereira,ropa,61.89
42,341,2025-06-21,Medellin,mercado,13.81
43,219,2025-02-28,Bogota,hogar,344.34
44,220,2025-01-14,Bucaramanga,electronica,126.0
45,399,2025-05-24,Cali,electronica,35.66
46,310,2025-06-22,Cali,electronica,105.05
47,346,2025-11-06,Medellin,hogar,17.65
48,352,2025-09-12,Medellin,ropa,9.11
49,159,2025-12-13,Medellin,ropa,71.86
50,236,2025-02-18,Bogota,ropa,84.41
51,209,2025-07-03,Bogota,libros,6.66
52,391,2025-01-06,Barranquilla,hogar,243.95
53,205,2025-05-14,Cali,ropa,39.19
54,119,2025-08-22,Cartagena,juguetes,105.43
55,219,2025-02-11,Bogota,electronica,113.71
56,10,2025-03-07,Pereira,electronica,10.46
57,3,2025-11-07,Cali,ropa,228.92
58,249,2025-06-28,Bogota,juguetes,65.55
59,93,2025-06-13,Bogota,electronica,106.0
60,315,2025-03-01,Barranquilla,hogar,19.78
61,24,2025-12-15,Cali,ropa,78.81
62,400,2025-02-01,Medellin,ropa,45.45
63,170,2025-10-26,Medellin,mercado,64.73
64,69,2025-12-25,Cali,juguetes,45.41
65,282,2025-10-10,Bogota,libros,62.75
66,167,2025-02-21,Bogota,electronica,82.51
